short_name,long_name,age,nationality_name,club_name,player_positions,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,height_cm,weight_kg,preferred_foot
P. Berg,Patrick Berg,27,Norway,FK Bodø/Glimt,"CDM, CM",77,80,12000000,9000,73.0,67.0,75.0,73.0,71.0,78.0,177,74,Right
L. Sané,Leroy Aziz Sané,29,Germany,Galatasaray SK,"RM, LM, RW",82,82,30000000,70000,87.0,81.0,78.0,85.0,37.0,68.0,183,80,Left
Kévin Rodrigues,Kévin Manuel Rodrigues,31,Portugal,Gaziantep FK,"LB, LM",75,75,4099999,15000,73.0,72.0,76.0,73.0,70.0,66.0,170,68,Left
Y. Bissouma,Yves Bissouma,28,Mali,Tottenham Hotspur,"CDM, CM",78,78,12500000,87000,66.0,66.0,74.0,79.0,76.0,74.0,182,78,Right
Marquinhos,Marcos Aoás Corrêa,31,Brazil,Paris Saint-Germain,CB,87,87,54500000,145000,78.0,56.0,75.0,74.0,89.0,80.0,183,75,Right
João Mário,João Mário Naval da Costa Eduardo,32,Portugal,AEK Athens,"LM, RM, CM, LW",78,78,11000000,33000,68.0,75.0,79.0,79.0,64.0,68.0,179,73,Right
K. Mainoo,Kobbie Mainoo,20,England,Manchester United,"CM, CDM",77,85,23000000,52000,68.0,69.0,74.0,81.0,73.0,74.0,181,80,Right
Á. Di María,Ángel Fabián Di María Hernández,37,Argentina,Rosario Central,"RW, RM",82,82,10000000,21000,73.0,80.0,85.0,85.0,43.0,62.0,180,69,Left
Nico González,Nicolás González Iglesias,23,Spain,Manchester City,"CDM, CM",79,85,25500000,90000,67.0,70.0,77.0,77.0,74.0,80.0,188,88,Right
J. Hofmann,Jonas Hofmann,32,Germany,Bayer 04 Leverkusen,"CAM, ST, CM",78,78,11000000,71000,64.0,76.0,78.0,79.0,64.0,68.0,176,72,Right
S. Dest,Sergiño Gianni Dest,24,United States,PSV,"RB, LB, RM",79,83,23500000,22000,87.0,60.0,75.0,83.0,72.0,72.0,173,68,Right
Dani Olmo,Daniel Olmo Carvajal,27,Spain,FC Barcelona,"CAM, CM, ST",85,86,62000000,140000,73.0,79.0,83.0,87.0,50.0,56.0,179,72,Right
Gavi,Pablo Martín Páez Gavira,20,Spain,FC Barcelona,"CM, CAM",83,89,56000000,85000,76.0,66.0,78.0,85.0,68.0,70.0,173,70,Right
Lee Kang In,Kang-in Lee이강인,24,Korea Republic,Paris Saint-Germain,"RW, CM, RM",79,84,26500000,74000,72.0,75.0,80.0,82.0,50.0,64.0,173,66,Left
N. Raskin,Nicolas Thierry Raskin,24,Belgium,Rangers FC,"CDM, CM",77,82,14500000,43000,73.0,63.0,73.0,76.0,73.0,74.0,178,74,Right
F. Honorat,Franck Honorat,28,France,Borussia Mönchengladbach,"RM, RW, RB",80,80,21000000,37000,84.0,78.0,79.0,78.0,53.0,63.0,180,70,Right
B. André,Benjamin André,34,France,Lille OSC,"CDM, CM",80,80,7000000,36000,55.0,64.0,73.0,76.0,79.0,83.0,180,76,Right
J. Ramsey,Jacob Matthew Ramsey,24,England,Newcastle United,"LM, LW",78,82,20000000,86000,77.0,75.0,73.0,80.0,68.0,72.0,180,72,Right
Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,24,Brazil,Arsenal,"LW, LM",81,84,35000000,125000,90.0,77.0,75.0,83.0,46.0,72.0,178,75,Right
R. Aït-Nouri,Rayan Aït Nouriريان آيت نوري,24,Algeria,Manchester City,"LB, LM",81,85,34500000,100000,84.0,53.0,76.0,84.0,77.0,70.0,180,70,Left
X. Schlager,Xaver Schlager,27,Austria,RB Leipzig,"CDM, CM",80,82,23000000,56000,69.0,70.0,74.0,78.0,75.0,78.0,174,78,Left
João Félix,João Félix Sequeira,25,Portugal,Al Nassr,"CAM, LW, LM, ST",79,82,23000000,45000,77.0,78.0,77.0,82.0,45.0,66.0,181,70,Right
Wesley,Wesley Vinícius França Lima,21,Brazil,Roma,"RB, RM",77,85,22500000,33000,89.0,62.0,70.0,78.0,73.0,76.0,178,75,Right
J. Rothwell,Joseph Matthew Rothwell,30,England,Rangers FC,"CDM, CM",74,74,3500000,43000,79.0,65.0,75.0,77.0,70.0,69.0,178,77,Right
D. Klaassen,Davy Klaassen,32,Netherlands,Ajax,"CM, CDM",77,77,8500000,20000,47.0,78.0,73.0,73.0,73.0,77.0,179,70,Right
Z. Youssouf,Zaydou Youssouf,25,Comoros,Al Fateh,"CDM, CM, CB",77,82,14000000,19000,70.0,65.0,74.0,80.0,71.0,80.0,182,77,Left
Pablo Barrios,Pablo Barrios Rivas,22,Spain,Atlético Madrid,"CM, CDM",82,87,46500000,69000,80.0,70.0,74.0,80.0,74.0,71.0,181,75,Right
G. Til,Guus Berend Til,27,Netherlands,PSV,"CAM, CM",77,77,11000000,23000,79.0,76.0,72.0,74.0,64.0,74.0,186,78,Right
R. Faivre,Romain Faivre,26,France,Al Taawoun FC,"RM, RW",76,76,8000000,60000,68.0,72.0,77.0,79.0,62.0,65.0,180,69,Left
Javi Galán,Javier Galán Gil,30,Spain,Atlético Madrid,"LB, LM",80,80,18000000,68000,78.0,56.0,75.0,79.0,77.0,73.0,172,70,Left
H. Vanaken,Hans Vanaken,32,Belgium,Club Brugge KV,"CAM, CM",80,80,16500000,40000,45.0,79.0,84.0,77.0,60.0,78.0,195,77,Right
T. Savanier,Téji Tedy Savanier,33,France,Montpellier HSC,"CAM, CM",75,75,3500000,9000,60.0,72.0,79.0,78.0,65.0,69.0,172,69,Right
P. Estupiñán,Pervis Josué Estupiñán Tenorio,27,Ecuador,AC Milan,"LB, LM",79,80,18500000,48000,76.0,57.0,77.0,78.0,75.0,72.0,175,79,Left
L. Spinazzola,Leonardo Spinazzola,32,Italy,Napoli,"LB, LM",78,78,9500000,81000,85.0,65.0,73.0,77.0,76.0,67.0,186,75,Right
Javi Guerra,Javier Guerra Moreno,22,Spain,Valencia CF,"CM, CDM",77,86,23500000,32000,74.0,73.0,75.0,76.0,73.0,70.0,187,77,Right
Antony,Antony Matheus dos Santos,25,Brazil,Real Betis Balompié,"RW, RM",81,84,34000000,38000,84.0,78.0,78.0,83.0,43.0,70.0,172,63,Left
Zubeldia,Igor Zubeldía Elorza,28,Spain,Real Sociedad,CB,78,80,14000000,39000,76.0,63.0,73.0,72.0,78.0,81.0,181,73,Right
Éder Aldralho,Éder Marvin Aldralho Castro,25,Brazil,Vasco da Gama,"RM, CAM, RW",72,72,2600000,10000,76.0,56.0,70.0,71.0,41.0,75.0,183,79,Right
M. Darmian,Matteo Darmian,35,Italy,Inter,"RB, CB, RM",81,81,8000000,29000,71.0,62.0,74.0,76.0,81.0,71.0,182,70,Right
Rosival Dourado,Rosival Jailson Dourado Santos,25,Brazil,Corinthians,"CDM, CM, CAM",81,81,25500000,25000,77.0,57.0,74.0,77.0,82.0,69.0,175,70,Right
O. Ntcham,Jules Olivier Ntcham,29,Cameroon,Samsunspor,"CDM, CM, CAM",73,73,2600000,20000,73.0,72.0,74.0,75.0,68.0,75.0,180,80,Right
N. Vlašić,Nikola Vlašić,27,Croatia,Torino,"CAM, LW, RW, CM",79,79,18500000,45000,74.0,76.0,76.0,81.0,57.0,70.0,179,79,Right
Q. Laçi,Qazim LaçiΚαζίμ Λάτσι,29,Albania,Çaykur Rizespor,"CM, CAM, CDM",74,74,4099999,14000,72.0,69.0,74.0,75.0,69.0,77.0,175,67,Right
M. Lewis-Skelly,Myles Anthony Lewis-Skelly,18,England,Arsenal,"LB, CM",78,87,28000000,64000,76.0,60.0,74.0,77.0,75.0,78.0,178,72,Left
S. Fofana,Seko Mohamed Fofana,30,Côte d'Ivoire,Stade Rennais FC,"CM, CDM, CAM",77,77,10000000,28000,68.0,75.0,74.0,76.0,71.0,80.0,185,74,Right
J. Ward-Prowse,James Michael Edward Ward-Prowse,30,England,West Ham United,"CM, CDM, CAM, CB",77,77,10000000,63000,42.0,74.0,83.0,74.0,66.0,64.0,173,66,Right
É. Banega,Éver Maximiliano David Banega,37,Argentina,Newell's Old Boys,"CM, CDM, CAM",77,77,3300000,12000,52.0,73.0,80.0,77.0,70.0,72.0,176,78,Right
F. Bustos,Fabricio Tomás Bustos Sein,29,Argentina,River Plate,"RB, RM",76,76,6500000,19000,85.0,65.0,73.0,79.0,68.0,74.0,167,70,Right
H. Morita,Hidemasa Morita守田 英正,30,Japan,Sporting CP,"CM, CDM",79,79,17000000,24000,68.0,72.0,76.0,79.0,73.0,78.0,177,76,Right
Gustavo Sá,Gustavo Filipe Alves de Freitas Azevedo e Sá,20,Portugal,Famalicão,"CAM, CM",74,85,9500000,9000,75.0,69.0,74.0,74.0,70.0,73.0,186,80,Right
A. Varela,Alan Gonzalo Varela,23,Argentina,FC Porto,"CDM, CM",79,85,25500000,14000,70.0,65.0,74.0,73.0,75.0,78.0,177,73,Right
R. Freuler,Remo Marco Freuler,33,Switzerland,Bologna,"CDM, CM",81,81,13000000,60000,58.0,72.0,76.0,77.0,77.0,74.0,180,80,Right
K. Mitoma,Kaoru Mitoma三笘 薫,28,Japan,Brighton & Hove Albion,"LM, LW",82,82,30500000,115000,87.0,73.0,76.0,86.0,57.0,64.0,178,74,Right
S. Zuber,Steven Zuber,33,Switzerland,FC Zürich,"ST, CAM, LM",74,74,2700000,20000,75.0,75.0,73.0,75.0,60.0,75.0,182,83,Right
T. Vilhena,Tonny Emílio Trindade de Vilhena,30,Netherlands,Panathinaikos FC,"CM, CDM, CAM",72,72,2200000,18000,70.0,71.0,72.0,71.0,72.0,74.0,175,70,Left
M. Depay,Memphis Depay,31,Netherlands,,"ST, LW, CAM",81,81,0,0,79.0,82.0,79.0,83.0,30.0,78.0,178,78,Right
Iago Aspas,Iago Aspas Juncal,37,Spain,RC Celta,"RW, ST, RM",83,83,12000000,38000,77.0,84.0,80.0,84.0,35.0,62.0,176,67,Left
O. Aina,Temitayo Olufisayo Olaoluwa Aina,28,Nigeria,Nottingham Forest,"RB, LB, RM",80,80,19000000,95000,88.0,63.0,71.0,75.0,78.0,75.0,184,82,Right
M. Wanitzek,Marvin Wanitzek,32,Germany,Karlsruher SC,"CM, LM, CAM",76,76,6000000,17000,70.0,75.0,78.0,74.0,61.0,69.0,179,74,Right
L. Blas,Ludovic Blas,27,France,Stade Rennais FC,"RM, RW, CAM",77,77,11000000,27000,72.0,77.0,76.0,79.0,58.0,64.0,180,77,Left
R. Mahrez,Riyad Mahrezرياض محرز,34,Algeria,Al Ahli SFC,"RM, RW",84,84,20000000,70000,78.0,80.0,81.0,88.0,39.0,63.0,179,67,Left
Iñigo Martínez,Íñigo Martínez Berridi,34,Spain,Al Nassr,CB,85,85,17500000,74000,71.0,57.0,72.0,68.0,85.0,80.0,182,76,Left
M. Camara,Mahdi Camara,27,France,Stade Rennais FC,"CM, CAM",78,79,16000000,29000,74.0,68.0,74.0,77.0,77.0,76.0,179,73,Right
J. Brandt,Julian Brandt,29,Germany,Borussia Dortmund,"CAM, CM",83,83,35500000,70000,74.0,78.0,83.0,84.0,44.0,70.0,185,83,Right
A. Kramarić,Andrej Kramarić,34,Croatia,TSG 1899 Hoffenheim,"CAM, CM",81,81,12000000,49000,67.0,82.0,78.0,84.0,33.0,73.0,177,73,Right
J. Koundé,Jules Olivier Koundé,26,France,FC Barcelona,"RB, CB, RM",87,88,85500000,155000,84.0,47.0,74.0,79.0,86.0,84.0,180,75,Right
C. Roldan,Cristian Roldán,30,United States,Seattle Sounders FC,"CDM, RM, CM, RW",74,74,3500000,8000,77.0,64.0,69.0,73.0,71.0,79.0,172,75,Right
S. Steijn,Sem Steijn,23,Netherlands,Feyenoord,"CAM, CM",78,83,21000000,16000,66.0,84.0,74.0,77.0,43.0,74.0,173,59,Right
Y. Musah,Yunus Dimoara Musah,22,United States,Atalanta,"CM, CDM, RM, CAM",74,82,9500000,30000,88.0,69.0,71.0,78.0,70.0,76.0,178,71,Right
P. Lees-Melou,Pierre Lees-Melou,32,France,Paris FC,"CDM, CM",78,78,9500000,48000,57.0,72.0,77.0,77.0,73.0,73.0,186,70,Right
A. Král,Alex Král,27,Czechia,1. FC Union Berlin,"CM, CAM",74,75,4800000,28000,71.0,66.0,71.0,76.0,73.0,79.0,187,80,Right
M. Rashica,Milot Rashica,29,Kosovo,Beşiktaş JK,"RM, LM, RW",76,76,7500000,36000,86.0,75.0,72.0,77.0,57.0,73.0,177,73,Right
N. Bentaleb,Nabil Bentalebنبيل بن طالب,30,Algeria,Lille OSC,"CDM, CM",77,77,9000000,29000,50.0,72.0,77.0,79.0,71.0,73.0,187,78,Left
N. Molina,Nahuel Molina Lucero,27,Argentina,Atlético Madrid,"RB, RM",79,80,18500000,61000,82.0,67.0,73.0,76.0,75.0,71.0,175,70,Right
A. Thomasson,Adrien Thomasson,31,France,RC Lens,"CM, CAM",77,77,8500000,28000,58.0,73.0,76.0,77.0,65.0,72.0,175,72,Right
A. Iwobi,Alexander Chuka Iwobi,29,Nigeria,Fulham FC,"LM, RM, LW",80,80,20500000,90000,76.0,74.0,77.0,81.0,56.0,73.0,180,75,Right
F. Bernardeschi,Federico Bernardeschi,31,Italy,Bologna,"RM, ST, RW",77,77,8500000,47000,75.0,75.0,77.0,80.0,54.0,67.0,185,77,Left
M. Cornet,Gnaly Maxwel Cornet,28,Côte d'Ivoire,Genoa,"LM, ST, LW",74,74,4200000,52000,85.0,74.0,70.0,75.0,67.0,65.0,179,69,Right
D. Berardi,Domenico Berardi,30,Italy,Sassuolo,"RW, RM",82,82,29500000,36000,82.0,80.0,79.0,84.0,35.0,68.0,183,72,Left
Richarlison,Richarlison de Andrade,28,Brazil,Tottenham Hotspur,"ST, LW, LM",78,78,14500000,100000,76.0,78.0,72.0,78.0,53.0,75.0,184,71,Right
Portu,Cristian Portugués Manzanera,33,Spain,Girona FC,"RM, LM, RW",76,76,4700000,30000,80.0,74.0,72.0,74.0,56.0,73.0,167,66,Right
D. Kamada,Daichi Kamada鎌田 大地,28,Japan,Crystal Palace,"CM, CAM",77,77,10500000,74000,71.0,72.0,77.0,78.0,64.0,66.0,184,72,Right
O. Yokuşlu,Okay Yokuşlu,31,Türkiye,Trabzonspor,"CDM, CM, CB",76,76,5000000,45000,65.0,70.0,71.0,69.0,74.0,81.0,191,79,Right
L. Shaw,Luke Paul Hoare Shaw,29,England,Manchester United,"CB, LB, LM",79,79,14500000,83000,69.0,57.0,78.0,75.0,79.0,72.0,181,75,Left
M. Braida,Malcom Nahuel Braida,28,Argentina,Boca Juniors,"LM, LB",76,76,7500000,20000,82.0,69.0,70.0,76.0,72.0,78.0,176,72,Right
Renato Veiga,Renato de Palma Veiga,21,Portugal,Villarreal CF,"CB, CDM",76,84,15500000,24000,73.0,60.0,73.0,72.0,75.0,82.0,190,88,Left
Nico Williams,Nicholas Williams Arthuer,22,Spain,Athletic Club,"LM, RM, LW",86,89,94500000,70000,93.0,76.0,80.0,87.0,36.0,66.0,181,67,Right
P. Bucha,Pavel Bucha,27,Czechia,FC Cincinnati,"CM, CDM, CAM",75,76,6500000,9000,71.0,70.0,74.0,76.0,69.0,71.0,173,73,Right
H. Larsson,Hugo Emanuel Larsson,21,Sweden,Eintracht Frankfurt,"CM, CDM",78,87,31500000,25000,77.0,73.0,71.0,78.0,71.0,77.0,187,74,Right
S. Schrijvers,Siebe Schrijvers,28,Belgium,Oud-Heverlee Leuven,"CM, CAM, CDM",74,74,4200000,15000,68.0,73.0,73.0,74.0,68.0,68.0,179,68,Right
Guilherme Sityá,Guilherme Haubert Sityá,35,Brazil,Konyaspor,"LB, LM",76,76,2300000,14000,80.0,62.0,76.0,74.0,68.0,78.0,180,79,Left
J. Grealish,Jack Peter Grealish,29,England,Everton,"LW, LM",80,80,20500000,130000,72.0,76.0,80.0,85.0,53.0,67.0,180,81,Right
Vini Jr.,Vinicius José Paixão de Oliveira Junior,24,Brazil,Real Madrid,"LW, ST, LM",89,92,141000000,320000,95.0,84.0,81.0,91.0,29.0,69.0,176,73,Right
G. Kochorashvili,Giorgi Kochorashviliგიორგი ქოჩორაშვილი,26,Georgia,Sporting CP,"CM, CDM, LM, CAM",74,77,5500000,16000,72.0,71.0,72.0,75.0,68.0,75.0,176,70,Right
Cucho,Juan Camilo Hernández Suárez,26,Colombia,Real Betis Balompié,"ST, CAM",78,81,18500000,33000,81.0,77.0,75.0,81.0,42.0,78.0,176,73,Right
A. Rațiu,Andrei Florin Rațiu,27,Romania,Rayo Vallecano,"RB, RM",79,80,18500000,28000,92.0,60.0,74.0,79.0,74.0,71.0,183,79,Right
M. Mount,Mason Tony Mount,26,England,Manchester United,"CAM, CM, RW",77,78,12500000,72000,67.0,76.0,79.0,78.0,62.0,61.0,181,74,Right
R. Calafiori,Riccardo Calafiori,23,Italy,Arsenal,"LB, CB",78,84,21000000,87000,72.0,66.0,71.0,75.0,77.0,77.0,188,86,Left
K. Havertz,Kai Lukas Havertz,26,Germany,Arsenal,"ST, CM, CAM",82,84,38000000,155000,72.0,79.0,78.0,81.0,48.0,74.0,193,82,Left
R. Marin,Răzvan Gabriel Marin,29,Romania,AEK Athens,"CM, CDM",74,74,4099999,25000,64.0,74.0,77.0,74.0,63.0,66.0,175,77,Right
Adrián Bernabé,Adrián Bernabé García,24,Spain,Parma,"CDM, CM",74,81,8000000,15000,77.0,70.0,75.0,79.0,69.0,63.0,170,68,Left
J. Bellegarde,Jean-Ricner Bellegarde,27,Haiti,Wolverhampton Wanderers,"CAM, CM",75,76,6500000,54000,78.0,63.0,72.0,78.0,70.0,72.0,170,70,Right
S. Driussi,Sebastián Driussi,29,Argentina,River Plate,"ST, CAM, CM",77,77,10500000,23000,84.0,75.0,72.0,80.0,45.0,78.0,178,80,Right
A. Marušić,Adam MarušićАдам Марушић,32,Montenegro,Lazio,"RB, LB, RM",78,78,9500000,34000,80.0,66.0,67.0,74.0,75.0,77.0,185,81,Right
A. Castro,Alexis Castro,30,Argentina,Estudiantes de La Plata,"LM, CM, LW",73,73,2900000,13000,77.0,73.0,71.0,74.0,69.0,71.0,183,71,Left
V. Rongier,Valentin Rongier,30,France,Stade Rennais FC,"CDM, CM",79,79,14500000,32000,62.0,66.0,75.0,78.0,74.0,78.0,174,67,Right
H. Aouar,Houssem Aouarحسام عوار,27,Algeria,Al Ittihad,"CAM, CM",77,78,12000000,40000,66.0,72.0,75.0,82.0,65.0,65.0,175,70,Right
V. Lazaro,Valentino Lando Lazaro,29,Austria,Torino,"RM, LM, LB, RB",76,76,7500000,37000,71.0,67.0,76.0,76.0,71.0,65.0,181,75,Right
Casemiro,Carlos Henrique Casimiro,33,Brazil,Manchester United,"CDM, CM",80,80,10500000,88000,36.0,74.0,76.0,69.0,80.0,76.0,185,84,Right
M. Wieffer,Mats Wieffer,25,Netherlands,Brighton & Hove Albion,"CDM, CM",78,82,18000000,74000,67.0,66.0,74.0,74.0,76.0,78.0,188,78,Right
Jauregizar,Mikel Jauregizar Alboniga,21,Spain,Athletic Club,"CM, CDM",78,88,31500000,31000,71.0,70.0,75.0,79.0,72.0,75.0,177,74,Right
A. Stiller,Angelo Stiller,24,Germany,VfB Stuttgart,"CDM, CM",83,87,47500000,47000,56.0,58.0,83.0,84.0,76.0,71.0,183,77,Left
A. Browne,Alan James Browne,30,Republic of Ireland,Middlesbrough,"CM, CAM",72,72,2200000,39000,70.0,69.0,70.0,72.0,69.0,78.0,179,74,Right
Lee Dong Kyeong,Dong-gyeong Lee이동경,27,Korea Republic,Gimcheon Sangmu FC,"CAM, ST, CM",75,75,6000000,10000,77.0,75.0,73.0,75.0,59.0,76.0,175,69,Left
B. Ndiaye,Papa Alioune N'Diaye,34,Senegal,Gaziantep FK,"CDM, CM",74,74,1400000,14000,81.0,68.0,69.0,74.0,71.0,76.0,180,81,Right
R. Kristensen,Rasmus Nissen Kristensen,27,Denmark,Eintracht Frankfurt,"RB, RM, CB",79,79,17000000,35000,69.0,65.0,70.0,72.0,79.0,81.0,187,75,Right
D. Ndoye,Dan Assane Ndoye,24,Switzerland,Nottingham Forest,"LM, RM, LW",79,82,24000000,77000,89.0,72.0,70.0,81.0,62.0,68.0,184,79,Right
Pedraza,Alfonso Pedraza Sag,29,Spain,Villarreal CF,"LB, LM",75,75,4900000,32000,77.0,71.0,72.0,73.0,73.0,71.0,184,73,Left
A. Robinson,Antonee Robinson,27,United States,Fulham FC,"LB, LM",82,82,29500000,100000,88.0,46.0,75.0,77.0,78.0,80.0,183,70,Left
T. Müller,Thomas Müller,35,Germany,Vancouver Whitecaps FC,"CAM, ST, RM",80,80,8500000,10000,59.0,79.0,82.0,78.0,55.0,65.0,185,76,Right
L. Krejčí,Ladislav Krejčí,26,Czechia,Wolverhampton Wanderers,"CB, CDM",78,82,17500000,32000,72.0,68.0,68.0,69.0,76.0,84.0,191,87,Left
S. Serdar,Suat Serdar,28,Germany,Hellas Verona FC,"CM, CDM",76,76,7500000,14000,67.0,71.0,72.0,78.0,73.0,73.0,184,75,Right
M. Reus,Marco Reus,36,Germany,LA Galaxy,"CAM, ST, CM",79,79,5500000,9000,58.0,81.0,81.0,80.0,52.0,62.0,180,71,Right
R. Carrera,Ramiro Ángel Carrera,31,Argentina,Lanús,"CM, LM, RM, LW",74,74,3500000,16000,79.0,71.0,73.0,73.0,64.0,79.0,182,77,Right
A. Živković,Andrija ŽivkovićАндрија Живковић,28,Serbia,PAOK,"RM, RW, LW",78,78,14000000,35000,82.0,74.0,74.0,81.0,57.0,66.0,169,62,Left
B. Henrichs,Benjamin Henrichs,28,Germany,RB Leipzig,"RB, RM, LB",80,80,19000000,58000,73.0,54.0,76.0,78.0,78.0,74.0,185,84,Right
A. Masuaku,Fuka-Arthur Masuaku Kawela,31,Congo DR,Sunderland,"LB, LM",75,75,4099999,49000,79.0,62.0,74.0,78.0,68.0,79.0,179,80,Left
Paulo Bernardo,Paulo Guilherme Gonçalves Bernardo,23,Portugal,Celtic,CM,73,82,6500000,34000,71.0,71.0,74.0,72.0,68.0,76.0,184,78,Right
M. Livaja,Marko Livaja,31,Croatia,Hajduk Split,"ST, CAM",79,79,15000000,33000,63.0,82.0,77.0,79.0,43.0,82.0,182,80,Right
R. Pereyra,Roberto Maximiliano Pereyra,34,Argentina,AEK Athens,"CM, CAM",76,76,3500000,28000,72.0,73.0,77.0,79.0,67.0,68.0,182,77,Right
Trincão,Francisco António Machado Mota de Castro Trincão,25,Portugal,Sporting CP,"CAM, RM, RW, ST",82,84,38000000,28000,80.0,80.0,79.0,84.0,40.0,71.0,184,74,Left
Hannibal,Hannibal Mejbriحنبعل المجبري,22,Tunisia,Burnley,"CM, CAM",74,82,9500000,39000,76.0,63.0,73.0,76.0,68.0,82.0,182,70,Right
E. Löwen,Eduard Löwen,28,Germany,St. Louis CITY SC,"CM, CDM, CAM, CB",74,74,4200000,9000,66.0,70.0,74.0,72.0,70.0,83.0,188,91,Right
Diego Rico,Diego Rico Salguero,32,Spain,Getafe CF,"LB, LM",77,77,7500000,33000,70.0,57.0,77.0,73.0,76.0,76.0,183,76,Left
R. Bazoer,Riechedly Guillermo Bazoer,28,Netherlands,Konyaspor,"CB, CDM",74,75,4000000,17000,67.0,68.0,73.0,74.0,74.0,74.0,184,74,Right
A. Haidara,Amadou Haïdara,27,Mali,RB Leipzig,"CM, CDM",77,78,12000000,47000,63.0,70.0,77.0,79.0,73.0,69.0,178,75,Right
Daniel Bragança,Daniel Santos Bragança,26,Portugal,Sporting CP,"CM, CDM, CAM",78,81,18000000,21000,79.0,72.0,77.0,80.0,67.0,62.0,178,72,Left
J. Mojica,Johan Andrés Mojica Palacio,32,Colombia,RCD Mallorca,"LB, LM",78,78,9500000,33000,88.0,65.0,73.0,73.0,74.0,70.0,185,66,Left
A. Zorgane,Adem Zorganeآدم زورجان,25,Algeria,Union Saint-Gilloise,"CDM, CM",78,80,16000000,24000,54.0,70.0,77.0,75.0,71.0,83.0,184,77,Right
J. Rudoni,Jack Edward Rudoni,24,England,Coventry City,"CAM, CM",74,80,6500000,33000,73.0,69.0,74.0,76.0,65.0,75.0,185,77,Left
M. Caqueret,Maxence Caqueret,25,France,Como,"CM, CDM",77,80,14000000,72000,75.0,62.0,75.0,78.0,76.0,67.0,174,63,Right
M. Ozdoev,Magomed OzdoevОздоев Магомед Мустафаевич,32,Russia,PAOK,"CM, CDM",74,74,3300000,27000,68.0,71.0,73.0,72.0,74.0,72.0,184,77,Right
M. Wolf,Marius Wolf,30,Germany,FC Augsburg,"RB, RM",75,75,4800000,31000,74.0,71.0,71.0,73.0,70.0,77.0,188,81,Right
M. Moreno,Damián Marcelino Moreno,30,Argentina,Lanús,"CAM, LM, ST, CM",78,78,13500000,22000,90.0,73.0,75.0,81.0,53.0,68.0,168,65,Right
N. Fagioli,Nicolò Fagioli,24,Italy,Fiorentina,"CM, CDM, CB",77,82,16000000,39000,74.0,65.0,78.0,79.0,70.0,63.0,178,72,Right
C. Goodwin,Craig Alexander Goodwin,33,Australia,Adelaide United,"LM, RM, LW",73,73,1900000,6000,81.0,74.0,72.0,70.0,59.0,73.0,180,72,Left
Lee Jae Sung,Jae-sung Lee이재성 李在成,32,Korea Republic,1. FSV Mainz 05,"CAM, CM",77,77,8500000,30000,72.0,71.0,72.0,81.0,63.0,66.0,181,74,Left
N. Lang,Noa Noëll Lang,26,Netherlands,Napoli,"LW, LM",80,81,25000000,100000,80.0,77.0,73.0,84.0,50.0,68.0,179,69,Right
P. Gueye,Pape Alassane Gueye,26,Senegal,Villarreal CF,"CM, CDM",78,81,18000000,39000,67.0,65.0,75.0,75.0,76.0,79.0,189,79,Left
J. Moder,Jakub Piotr Moder,26,Poland,Feyenoord,"CM, CAM, CDM",75,77,7000000,15000,64.0,70.0,74.0,73.0,71.0,78.0,188,78,Right
O. Duda,Ondrej Duda,30,Slovakia,Al Ettifaq,"CM, CDM",75,75,5500000,29000,65.0,72.0,73.0,78.0,65.0,67.0,181,75,Right
A. Tanaka,Ao Tanaka田中 碧,26,Japan,Leeds United,"CDM, CM",76,79,9000000,49000,70.0,68.0,72.0,77.0,73.0,71.0,180,69,Right
Gabriel Jesus,Gabriel Fernando de Jesus,28,Brazil,Arsenal,"ST, CAM",80,80,21500000,140000,81.0,79.0,74.0,86.0,39.0,71.0,175,73,Right
Guruzeta,Gorka Guruzeta Rodríguez,28,Spain,Athletic Club,ST,79,79,18000000,52000,73.0,78.0,72.0,78.0,51.0,78.0,188,80,Right
J. Willock,Joseph George Willock,25,England,Newcastle United,"CM, CAM",76,78,9500000,83000,75.0,72.0,73.0,79.0,72.0,68.0,186,71,Right
A. Pavlović,Aleksandar Pavlović,21,Germany,FC Bayern München,"CDM, CM",79,87,37000000,43000,62.0,64.0,79.0,78.0,76.0,71.0,188,75,Right
B. Romero,Braian Ezequiel Romero,34,Argentina,Vélez Sarsfield,ST,74,74,2100000,16000,88.0,73.0,64.0,73.0,54.0,83.0,180,65,Right
João Gomes,João Victor Gomes da Silva,24,Brazil,Wolverhampton Wanderers,"CDM, CM",78,83,19500000,53000,54.0,68.0,72.0,75.0,77.0,74.0,176,74,Right
I. Saibari,Ismael Saibari Ben El Basraإسماعيل صيباري,23,Morocco,PSV,"CAM, CM",79,84,26500000,23000,78.0,75.0,74.0,82.0,51.0,78.0,185,81,Right
M. Wittek,Maximilian Wittek,29,Germany,VfL Bochum 1848,"LB, LM, LW",73,73,2700000,13000,77.0,67.0,68.0,72.0,67.0,72.0,173,68,Left
A. Maitland-Niles,Ainsley Cory Maitland-Niles,27,England,Olympique Lyonnais,"RB, RM, RW",77,77,10000000,21000,77.0,65.0,73.0,76.0,72.0,74.0,180,71,Right
N. Domínguez,Nicolás Martín Domínguez,27,Argentina,Nottingham Forest,"CDM, CM",79,80,18000000,85000,69.0,65.0,72.0,76.0,76.0,77.0,179,73,Right
